title,datetime,content
库克中国行造访ofo 移动互联网成共享经济连接器,2017-03-23-09:14,3月21日上午，刚刚登上应用宝星APP2月榜的ofo又赢来一件喜事，苹果CEO库克到访。库克是否会像投资滴滴那样，在中国共享经济领域再有举措？图：库克参观ofo总部并体验ofo共享单车此种猜测并非空穴来风。苹果一直倡导清洁能源，而库克关注中国共享出行领域由来已久。去年3月库克访问滴滴，并和程维乘坐了滴滴出租车，库克回国后2个月，苹果就以10亿美元投资滴滴。而程维对ofo的青睐人所共知，在ofoB+轮投资数千万美元后，紧接着又在C轮和D轮连续跟投。ofo的不俗表现也获得了行业认可。上周，ofo登上了国内最大安卓应用商店腾讯应用宝的“星APP”2月新锐榜，这份以腾讯10亿用户数据为基础的榜单评价标准颇为全面，不仅有下载量、增速等常规指标，还包括了用户好评度、社交分享等反应用户真实评价的指标。据悉，ofo于2月在安卓、IOS双端内下载飙升300%，微信、QQ空间的社交分享量也飙升迅速，单月拥有超过500万次用户分享。而另有研究机构数据表明，目前ofo已占据共享单车市场51.2%的份额，位居行业第一。ofo在3个月内以218%的增长率成为共享单车领域的增速之王。国内移动互联网在过去一年经历了快速的发展，出现了一批颠覆用户传统生活模式的APP，ofo就具有典型的代表性，它将传统骑行场景通过移动互联网的连接，实现无桩、定位、扫码开锁等便利行为，解决了用户“最后一公里”的出行困境。凭借着自身强大的用户基础，ofo共享单车从线下场景拉动线上流量，为APP流量带来爆发式增长。当前中国多家共享单车初创企业正在展开激烈竞争，以获得投资者的青睐和更多的市场份额。共享单车红海里要想突围而出，相比线下免费骑行和免租金的“烧钱”模式，线上APP流量和应用的创新已逐渐成为各大品牌角逐的关键点。
摩拜、ofo等5家共享单车企业：押金和充值余额均可退,2017-03-24-10:01,中新网3月24日电 据中消协网站消息，23日上午，中国消费者协会在北京召开提升共享单车服务消费维权工作座谈会。根据座谈会的有关情况，目前收取押金的共享单车企业一般将押金统一存放在银行进行专户管理，消费者的押金和充值余额均可退，但退款时效、具体金额与支付方式、余额组成有关。图为工作人员准备修理共享单车。中新社记者 任东 摄3月23日上午，中国消费者协会在京召开提升共享单车服务消费维权工作座谈会。中消协专家委员会成员代表、律师团成员代表和部分媒体代表参加座谈会，摩拜、ofo、永安行、小蓝、由你等5家共享单车企业代表参加。根据座谈会的有关情况，目前收取押金的共享单车企业一般将押金统一存放在银行进行专户管理，消费者的押金和充值余额均可退，但退款时效、具体金额与支付方式、余额组成有关。相关共享单车企业通过日常巡检、消费者反馈、车辆状态监测等手段，检修和保养车辆，减少车辆损坏。与会专家认为，共享单车企业应当与使用单车的消费者签订车辆租赁合同，明确权利义务和安全保障措施，要向社会和消费者公示资金监管协议内容，保障消费者资金安全。收取押金的共享单车企业一般将押金统一存放在银行进行专户管理，消费者的押金和充值余额均可退。 资料图 图片来源：视觉中国企业代表表示，共享单车作为新兴行业，发展速度与管理提升还很不匹配，今后将积极主动与交通运输、城市管理、公安网监等职能部门进行沟通和对接，做好车辆投放、公共空间准入、信息安全等备案工作。据了解，为召开此次座谈会，中消协工作人员通过企业各种已公开的信息沟通渠道，联系了10余家共享单车企业，但是小鸣、酷骑、优拜、hellobike、骑呗、快兔出行等共享单车企业未能有效沟通和回应。
博鳌最年轻的企业家戴威和他的ofo,2017-03-24-16:12,中新网3月24日电 戴威，26岁。他和他创办的ofo被无数耀眼的光环加持——共享单车概念第一人、单车领域最大独角兽、成长最快的互联网公司、资本的宠儿……3月23日—26日，博鳌亚洲论坛2017年年会在海南博鳌如期召开。登录论坛并做演讲的戴威，将亲手为这些耀眼的头衔上，再添浓墨重彩的一笔——博鳌史上最年轻的企业家。最年轻的企业家，开创共享经济新模式登临博鳌，意味着戴威和ofo代表中国经济的新兴模式走上了国际舞台。而在两天前，另一场会面甚至在民间引发了不小的轰动。3月21日，第十次访问中国的苹果CEO库克，把此行的第一站选择了小黄车ofo北京总部。作为全球第一科技公司CEO的库克，最感兴趣的当然还是戴威和他的ofo共享经济模式。在库克到访之后，在微博上对ofo作出如下评价：“正能量、使命感、有趣、环保、高效”。剔除掉外交辞令般的褒奖，那么在这位立足全球的科技大佬眼中，“高效”又代表着什么含义呢？先来看一组数据，根据ofo测算，北京五环内一共700平方公里，投入70万辆车，就达到了同北大相同的密度，也即达到出门有车的程度。而目前，北京市自行车的存量大概900万到1000万辆，70万辆也就是10%的量。用10%解决了40%的甚至更多短途出行问题，资源利用的高效不言而喻。在此之上，高频消费、定制生产、成本管控都在不同层面解读着共享经济确实是一种超高效的、代表未来的、新的生产方式。虽然共享的概念其实早已有之，且不论如今早已熟知的滴滴、Uber，还是目前正处在单车领域的其他参与者，都应符合这个“共享”的基础。然而，为什么戴威开创的ofo引起了广泛关注呢？作为“共享经济”都具有一个共同的基础：产能过剩+共享平台+人人参与。如若把这三个基础当做实现共享理念的不同层次，现如今，共享平台搭建过程大家都已经全部完成。戴威在ofo创立之初，提出的口号就是：“不生产单车，只连接单车”。在戴威的眼里，共享的方式有很多种，但是“人人参与”的“开放”平台模式是必要选择。目前，ofo所有的自行车都来自于与传统车企的联合设计、定制，自身并不涉足制造。跟飞鸽、凤凰、富士达等品牌遍布全国甚至全球的专业自行车供应链企业合作，就近工厂生产覆盖，实现本区域投放自行车，建立起国内工厂近距离点对点的供应链协同体系。数据显示，目前ofo储备了全球40%的供应链并签订了排他协议，平台式的合作让ofo在开放的供应链中如鱼得水。而这种平台模式，通过共享单车的新业态带动自行车产业链的高速供给侧结构改革，随着ofo跟全球更多国家的自行车品牌和厂商达成合作，正在形成全球自行车产业链高效协同网络，成为全球共享经济发展的新案例和新样本。此外，ofo的 “平台”式理念绝不局限于自行车本身行业的上下游，还辐射到整个互联网生态领域。2月22日，ofo宣布与中国电信、华为达成全面合作，华为将为ofo提供NB-IoT芯片，并提供网络技术支持，共同打造NB-loT物联网共享单车，这是一次大规模的物联网实践的落地，让中国成为推动全球加速进入物联网时代的引擎。3月16日，ofo与蚂蚁金服的合作，开启信用授权免押金的“信用解锁”时代，让“信用”第一次真正进入消费者心智，推动信用城市建设 ，重构中国信用体系。开放的共享经济新模式，是戴威在ofo成立之初就奠定的模型，这是戴威作为新一代企业家对未来经济的探索。ofo引领亚洲共享经济走向全球不仅如此，戴威将他的ofo版图还拓展至海外。2016年底，首批数千辆单车ofo就出现在Google、Facebook等园区。目前，北美加州地区、伦敦、新加坡小黄车的落地业已完成，并已在新加坡确立市场领先地位。而这些，得益于ofo开放的战略思维以及戴威全球化的考量。中国企业全球化的路线图，都遵循着“先国内再国外”的规则，国内攻城略地已毕，海外再慢慢耕耘图谋发展，这是一个短则二三年，长则十数年的过程。然而ofo的做法却是，国内与国外，从一开始，就是齐头并进的两条直线。ofo是无桩共享单车概念的创造者，对于全球互联网行业来讲，这都是一种崭新的模式。而戴威这个90后的年轻人，也将年轻人的激情与想象力尽情发挥，比他的前辈们更有“野心”。就像他为小黄车设计品牌形象的时候，所设想的那样：“ofo的logo像一个自行车，在设计之初，我们希望全世界任何角落、任何民族，使用任何语言的人都可以知道我们是干什么的，所以起了这个名字。”对于戴威来讲，ofo从诞生的那天起，他就把目光瞄准了全球。而在ofo全球化脚步的后面，是飞鸽、凤凰等传统自行车厂“中国智造”的出海。ofo不仅在国内，通过互联网+与大数据模式，带动自行车制造业需求供给的有效匹配和旧动能的转型升级，还通过海外市场拓展，带动传统制造业进军全球。甚至，ofo还与凤凰等自行车厂合作，设计出适合不同国家人骑行的小黄车，而这些自行车将被投放在不同国家不同城市，为不同人种所骑行。“made in China”这句话，正随着小黄车的车轮驶向了新加坡、驶向了美国、驶向了伦敦，驶向了下一站。ofo对全球经济另一个深刻影响，是“中国原创”开始走向全球，中国制造从技术创新走向模式创造。过去数年里，中国诞生了自己的谷歌、自己的Uber，并且通过创新，成为影响世界的企业。然而，无桩共享单车作为中国原创模式，随着小黄车在海外市场的兴起，开始被全球复制和模仿，诸如美国的Spin、新加坡的Obike等共享单车企业竞相出现。过去一年，ofo完成了250万台投放，以超过3000万用户，成为共享单车市场领军企业，更成为了全球最大的共享单车平台。当然，从共享经济本身来说，目前还处于探索阶段，还需要更多形式创新与实践。但是ofo的做法无疑提供了一种思路与思考。与任何新的模式一样，共享单车作为一种新的思维，都需要在不断地发展蜕变中才能完成自我升华。对于现今时常提及的“下半场”，假使一个旧有模式，只会被新业态所代替，退出历史舞台，必然不会进入所谓“下半场”。但是，如若这个模式是具备生命力，势必会因自身的创新能力满血复活。比如电力和互联网，从发明到现在，世界对二者的想象远未停止，共享单车也一样。就目前来看，ofo的共享单车平台模式对整个产业链的撬动能力，以及对于经济模式探索动力，正在成为新时代下原创中国、输出全球、影响世界的经济新模式。有着开拓精神戴威以及他的ofo，正在全球化和自由贸易的浪潮之下，用ofo模式引领亚洲共享经济走向世界。而面对未来，戴威和他的ofo也有着明确的目标和构想：“ofo致力于成为影响世界的公司，我们希望为全球用户提供便捷经济的短途出行服务。”博鳌最年轻的企业家戴威和他的ofo，这种中国新业态，将如何影响全球生活和产业，未来仍充满想象。
ofo联合骑呗发布定制版共享单车 平台模式领跑行业发展,2017-03-24-16:12,中新网3月24日电 24日，共享单车企业ofo小黄车宣布，将与骑呗单车联合推出定制版小黄车ofo L1，并于26日在杭州和济南进行投放，这是ofo首次接入共享单车运营商。据悉，ofo L1将配备智能锁，支持扫码开锁功能。定制版单车沿用了骑呗单车独有的“Z字型”设计。L1车型采用铝合金车架，24寸实心胎，配备车筐、智能锁和发电花鼓。鞍座采用可调式设计，前后刹车均采用安全性较高的抱刹。相比于原有的骑呗单车，定制版ofo L1增加了车筐，将车座变为可调的结构，这使得ofo L1的骑行体验更接近普通的自行车，体现了ofo小黄车一直坚持以用户体验为先的理念。从本周日(3月26日)开始，杭州和济南的市民就可以体验到这款单车所带来的便利了。此前，ofo小黄车正式开启“城市大共享”计划，面向自行车品牌与厂商开展合作，同时接入并共享市民闲置的自行车，实现“连接自行车，而不生产自行车”。此前，ofo小黄车与飞鸽、富士达、凤凰等传统自行车制造商合作，以新动能带动传统自行车制造转型升级。之后，ofo小黄车与700Bike、云马、轻客等互联网品牌合作推出定制版共享单车，为用户提供多元化、差异化的出行服务。此次与骑呗单车联合是ofo小黄车又一次新的尝试，展示了ofo“平台模式”的发展愿景。ofo L12月22日，ofo宣布和中国电信、华为达成全面合作，共同开发全球首款NB-loT物联网共享单车，以成本低、容量大、网络覆盖广、功耗低的窄带物联网智能解决方案，引领共享单车行业标准。3月9日，ofo和700Bike联合发布新一代低运维共享单车ofo Curve，新车重新定义了共享单车行业”低运维“的产品和运营标准，打造出最适合用户骑行、同时运维成本最低的共享单车。3月16日，ofo宣布与芝麻信用达成战略合作，引领共享单车行业开启“信用解锁”时代。3月21日，ofo新加坡推出首款变速共享单车，满足用户个性化骑车需求，继续领跑新加坡市场。目前，ofo小黄车已覆盖全球46个城市，连接单车超过250万辆，为超过3000万用户累计提供超过4亿次的出行服务。以超过1000万日订单，成为继淘宝、滴滴、美团之后，中国第四家日订单超过千万的互联网平台。ofo创始人兼CEO戴威表示：“ofo致力于成为世界级的共享单车平台，希望通过城市大共享计划连接全球自行车，为用户提供便捷经济的短途出行服务。”
博鳌亚洲论坛开幕 ofo创始人戴威成最年轻企业家,2017-03-27-10:52,中新网3月27日电  日前，主题为“直面全球化与自由贸易的未来”的博鳌亚洲论坛2017年年会在海南博鳌召开，共享单车平台—ofo创始人兼CEO戴威和众多参会代表和企业家就科技、全球化、共享经济等话题展开讨论。本次博鳌年会在23—26日期间举行。随着ofo创造的“共享单车”概念在全球范围内的大热，ofo也一跃成为国内外商业领域的明星公司，年仅26岁的戴威成为了博鳌最年轻的企业家。23日，戴威参加博鳌CCTV青年领袖论坛，谈及全球化和互联网时代的社群现象时，他表示，在新社群时代，以后所有领域都会细分，未来不存在大众，只有小众，而小众以后就是新兴的大众，要不断满足用户的个性化需求。在新时代，大众和小众互不矛盾，兴趣爱好成就小众社群，也可以把小众社群的兴趣爱好打造成大众的高频刚需。“共享单车未来将是基础设施，就像水和电一样，会成为全球通用语言。”戴威说。今年是博鳌亚洲论坛第十六届年会，共设置了45场分论坛、17场圆桌会和若干闭门对话。今年的博鳌论坛不仅吸引了国内当下众多热门企业创业者和行业领袖的参与，还邀请了诸多重量级国际组织负责人、企业家、学者参加。作为第三次工业革命的代表，互联网、信息化直接促进了世界各国的互联融合，“互联网+”的模式更是为中国企业的发展提供了肥沃的土壤，冒出一批批先进的互联网企业，其与传统企业的深入合作，更是产生出了新的势能，促进我国和世界经济的提效、增量、质变。生为互联网的“宠儿”，ofo小黄车共享单车平台模式与传统制造业的合作，激活了传统制造业，刺激产业结构优化升级，ofo创造的全新商业模式，激发了潜在的、广阔的市场需求，并将供给方与需求结合起来，使增加有效供给成为可能，也成为近年来供给侧结构性改革的一个典型案例。据近期第三方数据平台艾瑞咨询发布的行业报告分析，ofo已经连接超过250万辆共享单车，覆盖全球46座城市，日订单超1000万，为全球3000万用户提供了4亿次出行服务，可以说，ofo小黄车已经成为全球规模最大的共享单车企业。不仅如此，ofo其源自中国本土创造的共享模式也成为全球其它国家竞相学习的代表，在英、美、新影响广泛。
ofo回应男童骑车发生交通事故：正积极研究防范机制,2017-03-28-13:46,中新网3月28日电 近日，上海静安区11岁男童在骑行ofo小黄车时发生交通事故引发关注。今日上午，ofo方面发出声明，ofo称已经注意到“上海静安区11岁男童骑车发生交通事故”的相关新闻报道。ofo方面表示，对于孩子遭遇车祸，公司感到非常痛心。对于此类事故的发生，ofo高度关注，已经在第一时间派出专业团队，前往上海调查及处理相关事宜。此事发生后，ofo立即与上海公安和交管部门取得了联系，并主动提供了相关信息和资料，积极配合相关部门的调查。目前调查正在进行中，后续的最新进展，公司将第一时间向媒体如实通报。如何研究出一套有效的防范机制，从源头上杜绝12岁以下未成年人使用单车，从而避免悲剧再次发生，是ofo正在全力以赴调查研究的重要目标，相信也是全行业乃至全社会有识之士的共识。此外，ofo方面称，“来自多家媒体反馈，部分友商利用这起悲剧事故，在权威调查结论未出时，在媒体渠道大量散布不实谣言，甚至直接撰写和散发成型稿件，对ofo进行毫无底线的恶意攻击。这种卑劣的公关做法，不仅对于改善用户使用安全毫无益处，也缺乏基本的道德素养和人文关怀。ofo已经收集了全部证据，并保留追究诋毁者法律责任的权利。”
共享单车如何“共管”？ofo创始人：平台勇于担责,2017-03-31-08:00,央广网北京3月31日消息(记者吴喆华)据中国之声《新闻纵横》报道，共享单车遍布大街小巷。方便最后一公里接驳的同时，管理和服务相对滞后，乱停乱放、恶意损坏、占用城市空间等问题凸显。共享单车是个新事物，它的投放、布局、规划、监管涉及多个部门，北上广深等地正在酝酿、研究出台针对共享单车的管理办法。共享单车，承担着公共交通的功能，却由民间资本运营。政府和企业的管理权责如何理顺？北京市朝阳区八王坟东公交车站是连接通州、燕郊和CBD的交通枢纽，几天前，这里曾因上千辆共享单车聚集，困住了公交车而受到关注。附近上班的白领张女士说，每天晚高峰，这里各种共享单车堆积的情况比较严重。“路上扔的都是这个车，这块路都这么窄了，从天桥下来，底下堆的都是车，感觉跟垃圾场一样。”共享单车乱停乱放，这事儿谁来管？北京市交通委称：共享单车应与普通单车停放要求一致。根据《北京市非机动车停车管理办法》，非机动车公共停车和停车场的管理涉及市政管理、规划、国土房管、公安交通、物价、质量技术监督等六个部门。这样的管理，也面临尴尬。昨天上午，在八王坟东站站台两侧几百米的距离，多数共享单车摆放比较整齐，仍有十几辆车直接停在了公交车道上，早高峰过去之后才被清理走，站台附近也没有停放自行车的标识。记者就此向北京市交委12328热线投诉，对方称，共享单车的问题不在其受理范围。“我这受理北京市正规出租车、地铁、公交车服务质量问题投诉，你问一下城管受理不受理，96310。”北京城管热线96310则回复说，关于共享单车乱停放的举报应该联系交管部门。记者联系北京市交管局热线122，得到的回复是如果共享单车阻塞了交通，交警会去处理。关于乱停放的问题，建议记者向12345反映。12345热线接线员告诉记者，建议联系共享单车运营企业。绕了一圈，停车乱象还得企业自己管。记者看到，在八王坟东公交车站，包括摩拜、ofo、小蓝车在内的企业，会派人把这里过剩，尤其是乱停放的车辆，转移到附近地铁口，摩拜单车甚至为此增加了夜班人员。民间资本进入公共服务领域，方便出行的同时，也给城市管理出了个新课题。首先，共享单车纯属企业行为，从零星出现到大面积铺开，发展速度极快，尚没有相应的准入门槛和规范的流程。摩拜单车公关负责人曹国星说：“一般来说，我们会跟交委、城管、以及公安交管局去做沟通跟报备。但其实目前还没有很清晰的主管单位，或者审批程序。”其次，共享单车的行业标准缺失。目前，只有上海编制了《共享单车团体标准》，其中要求共享单车须配备GPS卫星定位装置，但这一标准尚未落地。共享单车生产企业，天津富士达自行车有限公司副总经理景毅龙说，由于产品定位差异较大，目前，要给共享单车制定统一的产品标准存在一定困难。“成本上千块的产品跟几百块的产品定位就不一样，标准又必须是同样的标准，所以这个问题，大家正在谈。”杭州拥有国内最大、输出城市最多的城市公共自行车系统。共享单车与之相比，最大的区别是无停车桩的便利性，而这种无桩，也带来了无序。配套公共自行车，到2015年底，杭州建起了3504个服务点，杭州公共自行车公司总经理陶雪军并不认可共享单车“随借随还”的理念，他说杭州公共自行车“无桩有站”创新模式，也正在被共享单车企业借鉴，建立虚拟电子围栏，可以让共享单车“回家”。拥挤的都市，留给自行车的空间依然有限。国内发展公共自行车较好的杭州、太原等城市，政府在骑行设施的改善等方面投入不小。小蓝单车公关负责人吕明说，小蓝单车可以通过特有技术手段，避免车辆大密度的在部分区域过度集中，他希望地方政府能在公共交通和基础设施上加大投入。吕明认为，之所以产生拥堵现象，一定程度上是城市配套设施出了问题，政府层面应该更多地把自行车过去十年缺乏的基础设施补上。共享单车，方便的是用户，赚钱的是企业。有一种观点认为，企业应该花钱建立公共空间；也有一种观点说，很多地方政府每年斥巨资补贴传统公共自行车，这部分钱可否补贴给共享单车企业。摩拜单车公关负责人曹国星希望，政府能够投入更多的钱来改善骑行环境，比如公共自行车道的设置和提升，非机动车停车点的设置跟提升。杭州公共自行车的经验是作为城市最后一公里的公交配套措施，由杭州公交集团来负责运营这一项目。共享单车到底该哪个部门管？目前还难以明确。成都、深圳、南京、广州等地出台的有关共享单车的相关管理意见，牵头的都是交通部门。广州市明确将在中心六区城市道路红线范围内设置“自行车停放区”；深圳市明确界定了政府、企业及市民的责任和义务；成都则要求“加大执法力度”，并对全体市民进行约束。有业内人士称，这样的意见并不是法规，执法主体仍不明确，难以落地。广州市交通委昨天下午回复说，“主要由属地区政府做好落实和监督”。绿色智能、解决“最后一公里”、勾连公共交通网……共享的红利显而易见，从去年10月开始，共享单车进入快速发展期。济南建立全国首个共享单车街区，北京有望根据共享单车“热力图”规划停车空间……从最初进入城市，共享单车企业签下的一份份承诺书，到如今越来越多的企业和政府达成战略合作协议，政府和共享单车企业，正在建立良好的信任和沟通。ofo创始人戴威表示，平台要勇于承担责任，在跟政府沟通和交流的过程中，要选择相信。
共享单车研报：ofo城市覆盖率、满意度领跑行业,2017-03-31-14:42,中新网3月31日电   近日，全球领先的移动互联网第三方数据挖掘和整合营销机构iiMedia Research(艾媒咨询)最新发布的《2017Q1中国共享单车市场研究》报告显示，ofo小黄车在城市覆盖率，用户使用偏好、用户粘性指数、用户使用满意度等多维度数据方面都领先于同行业，并且优势明显。在整体市场发展方面，2016年共享单车市场规模达12.3亿元，预计到2017年中国共享单车市场规模将达102.8亿元，增长率为735.8%。2017年共享单车行业用户规模会继续保持超高速增长，将达2.09亿人。iiMedia Research(艾媒咨询)数据显示，2016年中国共享单车市场规模为12.3亿元，预计在2017年将达到102.8亿元，增长率高达735.8%；而用户规模为0.28亿人，预计在2017年将达2.09亿人，增长率亦有646.4%，中国共享单车市场将继续保持超高速增长。截至2017年3月中旬，全国共享单车投放总量已超400万辆，北上广深四座城市作为经济发展快、乐于尝试新事物的重要一线城市，进驻的共享单车平台较多，四座城市投放量占比已超70%。艾媒咨询分析师认为，2017年共享单车市场的竞争重要方向，仍会是谋求市场的快速扩张。而占据供应链产能和低成本产品优势的ofo，则更有核心竞争力。艾媒咨询最新数据还显示，2017年Q1中国共享单车粘性指数排行中，ofo以7.4分居于首位，摩拜单车以7.1 分紧随其后，两者相对于其他共享单车平台优势突出。艾媒咨询分析认为，ofo以校园为起点，迅速扩张到全国重要城市，较早获得用户并初步培养起用户骑行习惯。其次，较好的用户体验是吸引用户持续使用的最重要因素。艾媒综合分析认为，ofo能在多个核心维度领先行业，是因为其在用户体验和市场品牌扩张两方面同时布局。在产品体验优化上，ofo发布新一代智能锁以及与700Bike联合推出骑行体验升级和更低运维成本的ofo Curve；在押金门槛方面，ofo与蚂蚁金服旗下芝麻信用达成战略合作，为用户提供信用授权免押金的服务，降低用户使用门槛，引领行业由传统押金模式升级为”信用解锁”的新模式。同时，ofo也得益于单车硬件成本较低，且供应链产能优势明显，可更快速的在更多城市大规模投放车辆。ofo的日订单超千万，成为继淘宝、滴滴、美团后第四家日订单超千万的互联网平台，更是证明ofo独角兽效应凸显，并逐渐甩开竞争者。未来，随着ofo一举创下了4.5亿美金行业单笔最大融资额，以及不断打造行业在产品体验、运营模式、创新技术等方面的最新行业标杆。
ofo发布共享单车骑行指数：北京84.3分位列第一,2017-04-06-14:17,中新网4月6日电 6日，ofo小黄车联合交通运输部科学研究院对外发布《2017年第一季度中国主要城市骑行报告》。该报告以ofo出行大数据为参考，首次采用城市骑行指数作为评估指标，通过对单车使用水平、节能减排水平、健康贡献水平、停车设施水平、服务环境水平和社会文明水平六个方面进行综合评价，对北京、上海、广州、深圳、天津、南京、西安、杭州等20座国内一二线城市的共享单车发展水平进行评估排名。行业专家分析称，这是中国首个全面、专业的对主要城市共享单车骑行情况做的集中梳理和数据研究，对透视我国城市慢行交通发展现状、追踪共享单车行业发展、推动智能绿色城市建设事业起到参考作用。18~45岁人群成共享单车主要用户 西安广州“最男人”、天津昆明最均衡报告显示， 18~45岁人群成共享单车骑行的主主力用户，占比接近90%，其中30岁及以下群体占比达到55%，30~45岁占比约35%。由此可见，共享单车的用户不仅覆盖年轻群体，也受到了中年群体的广泛认可和使用。同时，在用户男女比例分布中，不同的城市区分为了两大派系。一个是以西安、广州为代表的五座城市成为了“最男人”的共享单车骑行城市，男性用户占比达到55.90%~59.70%，较高于女性用户。而以天津、昆明为代表的五座城市则成了“最均衡”的共享单车骑行城市，男女比例在48%~52%之间，可以说基本相差无几。但综合来看，女性用户占比能达到45%左右，而造成这一比例的则是与ofo小黄车轻便省力、可调节座位高度等车辆细节设计息息相关。中国城市整体骑行水平53.6分空间巨大 综合指数六大榜单昆明东莞上榜报告显示，2017年第一季度中国城市整体骑行水平为53.6分，其中北京以84.3位居榜首，上海、成都分别以79.3分和65.1分紧随其后。除此之外，深圳、昆明、杭州、广州、南京、厦门、福州、武汉等八座城市也高于平均分，城市骑行水平较为领先。而53.6的整体骑行水平虽然较满分100分来看属于偏低水平，但考虑到2017年初共享单车才迎来一波的快速发展，诸多方面尚不完善，例如城市停车设施的建设，北京、上海、杭州三城虽然达到13分以上，但其他20座城市停车设施平均得分仅为7.55分，远低于满分20分。未来，随着共享单车的健康发展、城市停车设施的建设、服务环境的提升等因素逐步完善，分数还将进一步上升。报告同时给出“2017年第一季度主要城市六大榜单”，北京位列“停车设施相对完善”、“节能减排贡献最大”、“政府服务环境最好”三个榜单之首。昆明则成为“最爱骑共享单车的城市”，东莞成为“我骑行•我健康”的榜首城市。城市文明程度杭州12.9分排第一 20城Q1累计骑行5.93亿公里报告针对社会文明程度，对各城市对共享单车的友好度进行了评分，杭州市以12.9分排名第一，南京、西安分别以12.75和12.22排名第二第三，北京仅以9.94分排名第九。在服务环境水平评估中，北京以满分15分位列第一，这可能与各地政府对共享单车的管理相关。近期，全国各地陆续出台了针对共享单车的管理办法，如上海出台了《共享自行车服务规范》，成都推出了《成都市关于鼓励共享单车发展的试行意见》。报告显示，我国20座城市第一季度累计骑行5.93亿公里，相当于绕地球14794圈，日均累计骑行距离为659万公里，相当于地球赤道的164倍。不仅如此，20个城市第一季度人均累计骑行消耗热量6840千卡路里，相当于燃烧掉1.8斤脂肪。共享单车缓解城市交通出行难问题 引领健康生活新风潮数据统计，从1995年至2016年，随着民用汽车保有量从1040万辆攀升至1.9亿辆，自行车的保有量却从6.7亿辆，急剧下降至3.3亿辆。汽车成为代步工具的同时，给城市交通和生态环境也带来了极大压力，城市居民的出行成本急剧上升。而随着2016年以ofo为代表的共享单车的出现，在有效解决最后一公里出行难的问题同时，也在全国掀起了绿色出行，健身骑行的新风潮。专家认为，共享单车+公共交通的出行模式，正逐渐替代家用汽车+步行+公共交通的出行模式，快速发展中的共享单车正改善着我国城市居民的出行模式，也对我国交通新体系建设产生深远影响。
京津冀ofo将用“北斗智能锁” 精准定位规范用户停车行为,2017-04-06-21:49,中新网北京4月6日电(吴涛)6日，共享单车企业ofo与卫星导航系统北斗导航达成战略合作。未来，ofo将在京津冀地区配备由北斗导航特制研发的拥有全球卫星导航定位技术的“北斗智能锁”，车辆定位将更加精准。作为中国自行研制的全球卫星导航定位系统，北斗导航的定位精准度更高。ofo方面表示，借助北斗导航定位技术，ofo可进一步优化其电子围栏定位技术，利用定位和大数据技术，智能划定虚拟的规范停放区域，实现车辆更精细化的运营管理，规范用户停放行为，并可向政府提报禁停区及推荐停放区的规划方案。此外，ofo、北斗导航将共建出行大数据平台，互通和完善城市综合交通出行大数据，为政府部门提供城市智慧慢行交通体系数据支持及智能响应解决方案。ofo与北斗导航达成了战略合作。企业供图ofo还将与北斗导航建立智能共享单车研发中心，共同促进共享单车行业应用北斗导航定位技术以及整个北斗定位应用产业发展的再升级。北斗导航总经理曹红杰表示，“本次以ofo为代表的共享单车行业作为切入点，双方共同推进北斗定位技术在共享单车产业的发展，使其成为了北斗卫星导航定位系统的重要应用领域。”ofo创始人兼CEO戴威在发布会现场表示，“ofo一直有意推动基于中国卫星导航高精尖定位技术的共享单车行业发展，更致力于将中国智造、中国技术推向世界。”最新数据显示，ofo已连接了超250万辆自行车，日订单超1000万单，业务覆盖全球47个城市。(完)
